Title,Original title,ID,Language,Details,Genre IDs,Popularity,Release date,Review score,Number of reviews
Ant-Man and the Wasp: Quantumania,Ant-Man and the Wasp: Quantumania,640146,en,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.","[28, 12, 878]",158.285,2023-02-15,6.4,4353
Priscilla,Priscilla,1020006,en,"When teenage Priscilla Beaulieu meets Elvis Presley at a party, the man who is already a meteoric rock-and-roll superstar becomes someone entirely unexpected in private moments: a thrilling crush, an ally in loneliness, a vulnerable best friend.","[18, 10749]",191.3,2023-10-27,6.9,146
The Naughty Nine,The Naughty Nine,936059,en,"Fifth-grader Andy finds himself without a present from Santa on Christmas morning. Realizing he must have landed on the “naughty list” and feeling unfairly maligned, Andy pulls together a team of eight other naughty-listers to help him execute an elaborate heist on Santa’s Village at the North Pole to get the presents they feel they deserve.","[10751, 12, 35, 10770, 80]",152.802,2023-11-22,6.2,47
Monster High 2,Monster High 2,1039960,en,"As they enter sophomore year at Monster High, Clawdeen Wolf, Draculaura and Frankie Stein face new students, new powers, and an even bigger threat that could not only tear their friendship apart but could change the world forever.","[10751, 14, 878, 10770]",161.025,2023-10-05,7.3,48
Guy Ritchie's The Covenant,Guy Ritchie's The Covenant,882569,en,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.","[10752, 28, 53]",171.428,2023-04-19,7.8,1957
The Boy and the Heron,君たちはどう生きるか,508883,ja,"While the Second World War rages, the teenage Mahito, haunted by his mother's tragic death, is relocated from Tokyo to the serene rural home of his new stepmother Natsuko, a woman who bears a striking resemblance to the boy's mother. As he tries to adjust, this strange new world grows even stranger following the appearance of a persistent gray heron, who perplexes and bedevils Mahito, dubbing him the ""long-awaited one.""","[16, 12, 14]",181.759,2023-07-14,7.3,473
The Black Book,The Black Book,1172009,en,"After his son is wrongly accused of kidnapping, a deacon who has just lost his wife takes matters into his own hands and fights a crooked police gang to clear him.","[9648, 53, 28]",159.587,2023-09-22,6.9,65
Radical,Radical,1058694,en,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries a radical new method to break through his students’ apathy and unlock their curiosity, their potential… and maybe even their genius.",[18],162.155,2023-10-19,7.6,13
"Ruby Gillman, Teenage Kraken","Ruby Gillman, Teenage Kraken",1040148,en,"Ruby Gillman, a sweet and awkward high school student, discovers she's a direct descendant of the warrior kraken queens. The kraken are sworn to protect the oceans of the world against the vain, power-hungry mermaids. Destined to inherit the throne from her commanding grandmother, Ruby must use her newfound powers to protect those she loves most.","[16, 10751, 14, 35]",160.779,2023-06-28,7.4,794
Dashing Through the Snow,Dashing Through the Snow,1001884,en,"Eddie Garrick is a good-hearted man who has lost his belief in the wonder of Christmas. While spending time with his nine-year-old daughter Charlotte on Christmas Eve, he befriends a mysterious man in a red suit named Nick.","[14, 10751, 35]",159.009,2023-11-17,6.4,80
Jagun Jagun,Jagun Jagun,1163045,yo,"A young man determined to become a powerful warrior joins an elite army, encountering the wrath of a maniacal warlord and the love of a fierce woman.","[28, 18]",173.169,2023-08-10,6.6,51
Mob Land,Mob Land,979275,en,"A sheriff tries to keep the peace when a desperate family man violently robs a pill mill with his brother-in-law, alerting an enforcer for the New Orleans mafia.","[28, 80, 53]",175.949,2023-08-04,5.7,48
Jigen Daisuke,次元大介,1157049,ja,"Feeling unhappy with his gun, Jigen is looking for the world’s best gunsmith. He finally finds out that Chiharu, who runs a watch shop, is the person he’s been seeking. Then, Jigen meets Oto, who comes to Chiharu’s shop looking for a gun. Jigen finds out about Oto's secrets and the mysterious organization that’s after her. After Oto is kidnapped, Jigen gets into a desperate battle to save her.","[28, 80, 18]",224.928,2023-10-12,7.2,35
Insidious: The Red Door,Insidious: The Red Door,614479,en,"To put their demons to rest once and for all, Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before, facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door.","[27, 9648, 53]",149.165,2023-07-05,6.7,1396
Dark Harvest,Dark Harvest,675531,en,"In a small Midwestern town, a deadly annual ritual unfolds when the mythical nightmare, Sawtooth Jack, rises from the cornfields and challenges the town’s teenage boys in a bloody battle of survival.","[27, 14, 53]",141.549,2023-10-11,6.0,147
Oracle,Oracle,787761,en,"A young woman accepts a job on a property with a traumatic history. Upon her arrival, she soon realizes that the nightmares of her childhood are connected to the evil in the house.",[27],156.006,2023-10-01,7.0,71
LEGO Marvel Avengers: Code Red,LEGO Marvel Avengers: Code Red,1154598,en,"The Avengers gather to celebrate their latest victory, but their celebration is quickly interrupted by the mysterious disappearance of Black Widow's father, Red Guardian. As the Avengers investigate, they discover that Red Guardian isn't the only one missing when they meet a dangerous new foe quite unlike anything they've ever encountered before.","[16, 28, 10751]",136.338,2023-10-26,6.5,57
Kandahar,Kandahar,717930,en,"After his mission is exposed, an undercover CIA operative stuck deep in hostile territory in Afghanistan must fight his way out, alongside his Afghan translator, to an extraction point in Kandahar, all whilst avoiding elite enemy forces and foreign spies tasked with hunting them down.","[28, 53]",125.951,2023-05-25,6.9,787
Heroic,Heroico,958182,es,"Luis, an 18-year-old boy with Indigenous roots, enters the Heroic Military College in hopes of ensuring a better future. There, he encounters a rigid and institutionally violent system designed to turn him into a perfect soldier.","[18, 53]",108.872,2023-09-21,7.5,94
It's a Wonderful Knife,It's a Wonderful Knife,1113278,en,"Winnie's life is less than wonderful one year after saving her town from a psychotic killer on Christmas Eve. When she wishes she was never born, she finds herself magically transported to a nightmarish parallel universe. With the murderous maniac now back, she must team up with a misfit to identify the culprit and get back to her own reality.","[27, 35]",133.63,2023-11-10,5.3,55
Hidden Strike,Hidden Strike,457332,en,Two elite soldiers must escort civilians through a gauntlet of gunfire and explosions.,"[28, 12, 53, 35]",124.786,2023-07-06,7.0,831
Totally Killer,Totally Killer,974931,en,"When the infamous ""Sweet Sixteen Killer"" returns 35 years after his first murder spree to claim another victim, 17-year-old Jamie accidentally travels back in time to 1987, determined to stop the killer before he can start.","[35, 27, 878]",130.758,2023-09-28,7.0,572
Evil Dead Rise,Evil Dead Rise,713704,en,"A reunion between two estranged sisters gets cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.","[27, 53]",131.939,2023-04-12,7.0,2561
Hypnotic,Hypnotic,536437,en,A detective becomes entangled in a mystery involving his missing daughter and a secret government program while investigating a string of reality-bending crimes.,"[9648, 53, 28, 878]",142.172,2023-05-11,6.4,846
Sobreviviendo mis XV,Sobreviviendo mis XV,1172029,es,"Quinceañeras, a magical age... except when your family wants to put you in a bulky dress and make you waltz in front of everyone, which is exactly what happens to Danae shortly after she transfers to a very proper private school.  Now Danae has to manage to balance the demands of her family, those of her new friends and organize a cool, but traditional, but modern, but emotional, but aesthetic, but also grandmother-pleasing Quinceañera party... without dying in the process.",[35],131.833,2023-09-21,7.6,59
The Squad: Home Run,Antigang : La Relève,1020394,fr,"Former Antigang legend Niels Cartier, known for his muscular and unconventional methods, left the force following an intervention that went wrong and led to the death of his wife. When the gang of bank robbers responsible for her death reappears eight years later, Niels won't let anyone stand in his way to seek revenge. Even if it means forming an explosive duo with his temperamental 14-year-old daughter.","[28, 53, 80, 18]",133.488,2023-08-25,6.4,94
The Legend of the Spirits,La Leyenda de los Chaneques,1150394,es,"Five years after giving up his powers and separating from his friends, Leo San Juan has started a new life trying to focus on his family and their bakery, staying away from danger and adventures. However, Leo knows that his plans are rarely fulfilled and this time is no exception: while traveling with Nando to Veracruz, things start to get weird, and from the depths of the Tuxtlas jungle, an ancient curse has returned and only Leo can face it.","[16, 35, 10751, 27]",125.115,2023-07-14,8.4,198
The Pope's Exorcist,The Pope's Exorcist,758323,en,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.","[27, 53]",127.8,2023-04-05,7.1,2281
Poor Things,Poor Things,792307,en,"Brought back to life by an unorthodox scientist, a young woman runs off with a debauched lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.","[878, 10749, 35]",116.147,2023-11-21,7.8,56
